"" 0 "ns=1;i=292
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=221" SlotPulsesAdder8 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 72 "ns=1;i=220
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=220" SlotPulsesAdder7 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 73 "ns=1;i=219
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=219" SlotPulsesAdder6 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 74 "ns=1;i=218
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=218" SlotPulsesAdder5 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 75 "ns=1;i=217
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=217" SlotPulsesAdder4 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 76 "ns=1;i=216
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=216" SlotPulsesAdder3 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 77 "ns=1;i=215
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=215" SlotPulsesAdder2 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 78 "ns=1;i=214
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=214" SlotPulsesAdder1 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 79 "ns=1;i=213
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=213" SlotFramePosition 0 Int32 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 80 "ns=1;i=212
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=212" ADCAutoPosition 0 Int32 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 81 "ns=1;i=211
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=211" FramePositionPulses 0 Int32 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 82 "ns=1;i=210
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=210" SlotRemainderPulses 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 83 "ns=1;i=209
nsu=urn:Mitsubishi:FX5-OPC:215ab6b0-c7d9-42f9-bb51-7ee5a38ac64a;i=209" FramePosition 0 Int16 "05/28/26 21:56:12.0780000 EDT" "05/28/26 21:56:12.0720000 EDT" "GOOD (0x00000000) ""The operation succeeded."""  
"" 84 "ns=1;i=208
